link,published,author,series,rating,charnum,awardnum
/work/96135,(2003),by Kathryn Lasky,1,(3.77),2,4
/work/3373,(1726),by Jonathan Swift,0,(3.7),2,32
/work/9613388,(2010),by Paul Greengrass,0,(3.43),1,1
/work/151853,,by Nick McDonell,0,(3.13),1,1
/work/10544769,,"by Miguel Sapochnik (Director), Eric Garcia (Writer), Garrett Lerner (Writer)",0,(3.5),1,1
/work/358875,,by K. A. Applegate,1,(3.49),8,1
/work/2144,(1952),by Jim Thompson,0,(3.9),10,5
/work/4967722,(2004),by Ben Sherwood,0,(3.77),3,1
/work/112269,(1993),by John Marsden,1,(4.06),8,13
/work/29158,(1997),by Mordecai Richler,0,(4.04),2,10
/work/8301585,(2001),by Ken Bruen,0,(3.87),7,1
/work/17026649,,by Daniel Grou,0,(2),1,1
/work/7137,(1938),by Graham Greene,0,(3.72),4,8
/work/1629281,(2005),by John van de Ruit,1,(3.83),5,2
/work/11584344,,by Jim Loach,0,(4.38),1,1
/work/71572,,by Jonathan Ames,0,(3.65),1,1
/work/6905762,(1985),by Philip K. Dick,1,(3.62),4,1
/work/12730,,by Timothy B. Tyson,0,(4.27),4,2
/work/7499542,(2008),by Sally Nicholls,0,(4.22),1,10
/work/11338868,,by Laure Charpentier,0,,1,1
/work/4183,(2002),by Neil Gaiman,0,(3.99),11,31
/work/7233,(1986),"by Alan Moore (Writer), Dave Gibbons (Illustrator)",1,(4.32),53,20
/work/1133624,(2005),by J. K. Rowling,1,(4.36),49,16
/work/6446,(1970),by Roald Dahl,0,(3.91),5,6
/work/24420,(1930),by Sir Arthur Conan Doyle,1,(4.43),7,4
/work/4931,(2002),by Alice Sebold,0,(3.7),17,31
/work/1541442,(2005),by Stieg Larsson,1,(4.02),15,19
/work/1116874,(2000),by Dan Brown,1,(3.64),7,5
/work/9734509,(2009),"by Ron Clements (Director & Screenplay), John Musker, John Musker (Director & Screenplay)",1,(3.83),26,1
/work/2299193,(2006),by Stephenie Meyer,1,(3.66),37,11
/work/1222607,(2006),by Cormac McCarthy,0,(4.06),6,28
/work/108871,(2001),by Walter Kirn,0,(3.02),1,3
/work/8816389,,by Eduardo Sacheri,0,(4.16),2,1
/work/13513155,,by James Wong (Director),0,(4),1,1
/work/15811928,,"by Scott Cooper (Director), Eric Brenner (Director)",0,(3.5),1,1
/work/96993,(1964),by Christopher Isherwood,0,(4.05),6,3
/work/12466,(2004),by Jodi Picoult,0,(3.98),7,16
/work/124712,,by Sapphire,1,(3.82),1,7
/work/220546,(2000),by Darren Shan,1,(3.73),4,6
/work/3067,,by Audrey Niffenegger,0,(4.1),16,22
/work/8905701,,"by Andy Fickman (Director), Matt Lopez (Writer)",0,(3.25),1,1
/work/1549,(1843),by Charles Dickens,1,(4.09),14,20
/work/357343,(1973),by John Godey,0,(3.49),1,1
/work/2361677,(2007),by Larry Doyle,0,(3.5),7,3
/work/3416802,,by Shauna Cross,0,(3.63),20,3
/work/252517,(2000),by Kurt Eichenwald,0,(3.89),1,4
/work/27244,(1993),"by C. D. Payne, C. D. Payne",1,(4.05),19,1
/work/8461381,,by Kate Brian,1,(4.33),1,1
/work/1221112,(1971),by Lois Duncan,1,(3.84),3,1
/work/101906,(1920),by Colette,1,(3.93),5,1
/work/9365859,,by Tom Hooper,0,(3.5),1,1
/work/413541,(1990),by Jay Parini,0,(3.56),2,1
/work/39225,(1998),by Paulo Coelho,0,(3.6),5,2
/work/3288326,,by Rachael O'Neill,0,,1,1
/work/4867294,,by Mother Mary Francis,0,(5),1,1
/work/919616,(1982),by Dennis Etchison,0,(3.76),1,2
/work/177342,,by Peter Cameron,0,(3.67),1,2
/work/43350,(2002),by Barry Eisler,1,(3.8),1,1
/work/1766008,,by T. D. Jakes,0,(3.86),1,1
/work/171179,(1962),by Patricia Highsmith,0,(3.71),1,1
/work/563222,(1995),by Thomas Eidson,0,(3.57),1,1
/work/192404,(1835),by Nikolai Gogol,0,(3.8),5,2
/work/1187333,,by Karen Kingsbury,0,(4.08),1,1
/work/38190,(2002),by Eugene H. Peterson,1,(4.31),67,2
/work/8384326,(2005),by Stephenie Meyer,1,(3.74),22,40
/work/383608,(2006),by John Boyne,0,(3.97),9,14
/work/4682,(1995),by Bernhard Schlink,0,(3.7),5,15
/work/2346653,,by David Ignatius,0,(3.64),1,1
/work/23084,(1992),by Steven Gould,1,(3.86),4,4
