Link,Title_x,Release_Date,ViewRating_x,Runtime_x,Genres_x,Description_x,Title_y,ViewRating_y,Genres_y,Budget,DomesticGross,WorldwideGross,Description_y,Keywords,Runtime_y
/title/tt0118623/,Anna Karenina,(1997),PG-13,108 min,"Drama, Romance",Anna (Marceau) is a wife and mother who has an affair with the handsome Count Vronsky (Bean). Based on the novel by Tolstoy.,,,,,,,,,
/title/tt0119879/,Perdita Durango,(1997),R,129 min,"Action, Crime, Horror","A psychotic criminal couple kidnaps a random teenage couple. The woman rapes the male captive, and lets him watch his lover being raped by the man. They then plan to sacrifice the couple.",,,,,,,,,
/title/tt0118768/,The Brave,(1997), ,123 min,Drama,"A down-on-his-luck American Indian recently released from jail is offered the chance to ""star"" as the victim of a snuff film, the resulting pay of which could greatly help his poverty stricken family.",,,,,,,,,
/title/tt0119114/,Fever Pitch,(1997),R,102 min,"Comedy, Drama, Romance",A sports fan's romantic courtship clashes with his obsession with his favorite football team.,,,,,,,,,
/title/tt0117496/,Robinson Crusoe,(1997),PG-13,105 min,"Adventure, Drama","1703: Robinson Crusoe has to leave Scotland for a year, but after months sailing, a storm wrecks his ship. He ends up as only survivor on a desolate island.",,,,,,,,,
/title/tt0120152/,Smilla's Sense of Snow,(1997),R,121 min,"Crime, Drama, Mystery","A 6 y.o. Inuit boy runs off a snowy roof in Copenhagen and dies. Smilla, a half Inuit who lives in the building and knows the boy, looks into it. What makes an acrophobic boy run up on the roof? The clues take her to Greenland.",,,,,,,,,
/title/tt0120317/,That Darn Cat,(1997),PG,89 min,"Action, Comedy, Crime","A maid is kidnapped and scratches a message onto D.C. the cat's collar and when his owner Patti discovers this, she plays amateur detective with the help of D.C. to try to find the culprits.",,,,,,,,,
/title/tt0120323/,A Thousand Acres,(1997),R,105 min,Drama,A family is torn apart after a father gives his valuable farm land to his daughters.,,,,,,,,,
/title/tt0119209/,Going All the Way,(1997),R,103 min,"Comedy, Drama, Romance","After returning home from the Korean War, two young men search for love and fulfillment in middle America.",,,,,,,,,
/title/tt0120357/,Touch,(1997),R,96 min,"Comedy, Drama, Romance","At the discovery of his ability to work miracles, Juvenal becomes a media sensation, but now he's prone to those who want to exploit him.",,,,,,,,,
/title/tt0119723/,Mrs Dalloway,(1997),PG-13,97 min,"Drama, Romance","In 1923 London, socialite Clarissa Dalloway's (Vanessa Redgrave's) well-planned party is overshadowed by the return of an old suitor she had known thirty-three years earlier.",,,,,,,,,
/title/tt0119588/,The Wax Mask,(1997),Unrated,98 min,Horror,,,,,,,,,,
/title/tt0119389/,The Island on Bird Street,(1997),PG-13,107 min,"Drama, War","During World War II a Jewish boy is left on his own for months in a ruined house in the Warsaw Ghetto, where he must learn all the tricks of survival under constantly life-threatening conditions.",,,,,,,,,
/title/tt0119843/,Oscar and Lucinda,(1997),R,132 min,"Drama, Romance",,,,,,,,,,
/title/tt0118804/,The Butcher Boy,(1997),R,110 min,"Comedy, Drama",The antisocial son of an alcoholic father and a bipolar mother grows up in 1960s Ireland.,,,,,,,,,
/title/tt0116762/,Keys to Tulsa,(1997),R,113 min,"Crime, Drama, Thriller","Richter is a lazy son of a wealthy woman, who's put up with too much so no more money. He's about to lose his local newspaper job arranged by his mom. Richter owes money to a violent drug dealer/blackmailer but sees his wife. Death wish?",,,,,,,,,
/title/tt0119665/,Metroland,(1997),R,101 min,"Comedy, Drama","The sudden reappearance of his best friend Toni, after a ten year absence, causes Chris to remember his past, to question some of his lifestyle decisions and to re-evaluate his life and marriage to Marion.",,,,,,,,,
/title/tt0118743/,The Blood Oranges,(1997),R,93 min,Drama,A swinging married couple pursues erotic pleasures with a dangerous husband and wife while vacationing in Italy.,,,,,,,,,
/title/tt0120481/,Washington Square,(1997),PG,115 min,"Drama, Romance","In this adaptation of the Henry James novel set in 19th-century New York City, a wealthy spinster with an overbearing father is pursued by a handsome fortune hunter who may be only after her money.",,,,,,,,,
/title/tt0119899/,Pippi Longstocking,(1997),G,75 min,"Animation, Adventure, Comedy","Pippi is a little girl who lives alone in her house, while her father is sailing the seas. With Pippi we meet her horse, her monkey and her two friends Tommy and Anika. Together they go on many journeys through the neighborhood.",,,,,,,,,
/title/tt0120408/,The Eel,(1997),Not Rated,117 min,Drama,"A businessman kills his adulterous wife and is sent to prison. After the release, he opens a barbershop and meets new people, talking almost to no one except an eel he befriended while in prison.",,,,,,,,,
/title/tt0120087/,The Second Jungle Book: Mowgli & Baloo,(1997),PG,88 min,"Adventure, Comedy, Drama","The story of Mowgli, a young boy abandoned in the wilds of India. Raised by a panther, an elephant and a bear, Mowgli must learn civilization's ways when his long-lost uncle and a circus scout from Barnum and Bailey come looking for him.",,,,,,,,,
/title/tt0118901/,Critical Care,(1997),R,107 min,"Comedy, Drama",A hospital resident is put in the middle of a legal battle between two half-sisters on whether to pull their comatose dad's life support. But more seems to be at stake than dad's life - his inheritance.,,,,,,,,,
/title/tt0119448/,Character,(1997),R,122 min,"Crime, Drama, Mystery","Jacob Katadreuffe lives mute with his mother, has no contact with his father who only works against him and wants to become a lawyer, at all costs.",,,,,,,,,
/title/tt0120001/,Behind the Lines,(1997),R,96 min,"Biography, Drama, History","Based on Pat Barker's novel of the same name, ""Regeneration"" tells the story of soldiers of World War One sent to an asylum for emotional troubles. Two of those soldiers are England's most important WW1 poets.",,,,,,,,,
/title/tt0149601/,Agir Roman,(1997), ,120 min,"Crime, Drama, Romance","A young car mechanic, while in the middle of an unlikely love affair, tries to protect the people in his poor gypsy neighborhood from a gangster who terrorizes the locals.",,,,,,,,,
